Scenario,Title,FinalWord,Paragraph,Questions,Correct,ScenarioType,Format,Immersion
corridor,Work corridor,normal,"In the corridor at work, your boss asks you a question, and you realize you respond incorrectly. Your boss corrects you. You think the experience of being corrected by your boss is normal.",Is it OK to occasionally answer a question from your boss incorrectly?,Yes,Social_Image,Visual,picture
choir,Choir group,valuable,"You have been a member of a choir for several years and enjoy performing at concerts. One evening, you are asked to sing on very short notice with another group. Afterwards, you feel that the others found your contribution valuable.",Were the other members of the choir happy with your singing?,Yes,Social_NoImage,Visual,none
radio,Driving with your mother-in-law,knowledgeable,"You are in the car with your mother-in-law and put on the radio. As you discuss which station to listen to, you realize you and your mother-in-law like different types of music. After having a discussion about the pros and cons of different music styles, she likely judges you as knowledgeable. ",Does your mother-in-law decide that you do not know anything about music?,No,Social_Image,Visual,picture
dark,Something on your leg,unbearable,"You found a dark mole on your leg and made an appointment with your doctor to get it looked at. Your doctor says she will get back to you with the test results within the next few days. You become anxious at the thought of waiting for test results for an undetermined amount of time, and your anxious feelings are unbearable.",Are you able to manage your anxious feelings while waiting for your test results? ,No,Physical_NonAnxSensitive,Visual,none
economy,Bad economy,secure,"You recently saw on the news that the economy has been particularly bad. Even though your boss typically gives you good reviews, you wonder whether your job is safe. You think you will likely be secure.",Is it likely that you will be fired?,No,Other,Visual,none
nervous,Upcoming date,excited,You have a date in 30 minutes. You are feeling nervous. This feeling makes you even more excited.,Does feeling nervous scare you?,No,Physical_AnxSensitive,Visual,none
paint,Painting a house,funny,You are helping a friend paint a house and have been raising your hand for a long time. Your fingers begin to tingle. This sensation is funny.,Do the tingling feelings in your fingers make you nervous?,No,Physical_AnxSensitive,Visual,none
audition,Audition for a play,calming,"You are about to audition for a play. You feel your body tremble. Other people are nearby, which is calming.",Are you glad that other people are nearby when you feel shaky?,Yes,Physical_AnxSensitive,Visual,none
guests,Dinner party invitation,friendly,"A friend invites you to a dinner party that she is holding. She tells you who the other guests are, but you do not recognize any of the other names. You go anyway, and on the way there, you think that the other guests will find you friendly.",Will you be well liked at the party?,Yes,Social_NoImage,Visual,none
conversation,Spending time with a friend,uncomfortable,"While hanging out with a friend, you notice that the conversation has died down. Neither of you says anything for a bit. As you think of a new conversation topic, your friend probably thinks you are uncomfortable.",Does your friend think you are okay with silence?,No,Social_NoImage,Visual,none
convention,Convention speech,pleased,"You are giving a speech at a convention for work. As you look into the crowd, you notice that your boss’s expression is neutral. You think that her expression means that she is pleased.",Does your boss’s neutral expression mean that she is disappointed with your speech?,No,Social_Image,Visual,picture
evaluation,First job evaluation,excellent,The morning of your first evaluation with your new boss has arrived. She tells you that she has strong views about your work. You think that she likely finds your work excellent.,Do you think your new boss has an unfavorable opinion of your work?,No,Social_NoImage,Visual,none
neck,Stiff neck,acceptable,"You woke up this morning with a stiff neck. You wonder whether this is a minor injury or a sign of a larger problem, so you schedule an appointment with your doctor. You have to wait until tomorrow to see her, and you think that your anxiety while waiting for the appointment will be acceptable.",Are you able to tolerate your anxiety while waiting to see your doctor?,Yes,Physical_NonAnxSensitive,Visual,none
acquaintance,An old acquaintance,answer,"An old acquaintance just moved into your city and asks you out to coffee. You are nervous about seeing him again after many years and could easily tell him that you are too busy. You are at home when he calls about meeting, and you decide to answer.",Do you take your acquaintance’s call to meet for coffee?,Yes,Social_Image,Visual,picture
chat,New person chat,great,"At a dinner party, you are introduced to someone new and chat with him for quite a while. When you call him the next week to suggest meeting again, he pauses for a moment. He probably thinks that getting together would be great.",Does your new acquaintance want to meet with you again?,Yes,Social_NoImage,Visual,none
