Scenario,Title,FinalWord,Paragraph,Questions,MCQ_Positive,MCQ_Negative,MCQ_Answer,ScenarioType,Format,Immersion
reply,Meeting someone new,enjoyable,"You meet someone at a party and feel that you got along well. Later, you call and suggest meeting again. The reply you get makes you feel that the person thinks meeting again would be enjoyable.",The person you met at the party will probably,Say yes if you ask them on a date.,Say no if you ask them on a date.,Positive,Social_Image,Visual,picture
email,Work event,visible,"Although you are normally on time for work events, today you receive an email from your boss saying that you are a few minutes late for a scheduled meeting with her, which you had completely forgotten about. As you quickly head to the office, you wonder whether she is going to judge you for being late. As you walk into the room, your anxiety is visible.","During the meeting, your boss will probably think you are","Competent, even though you made a mistake. ",Irresponsible and nervous.,Negative,Social_NoImage,Visual,none
attractive,Attractive blind date,calm,"You recently arrived at a blind date, and you notice that your date is very attractive. You have difficulty thinking of something to say, so you sit quietly. As you look through the menu, you realize your date probably thinks that you are calm.",Your date is likely to see you as ,A calm person.,An anxious person.,Positive,Social_NoImage,Visual,none
club,Dancing at a club,distracted,"While dancing at a club, you spot an old friend not far away and call out to him. He does not reply to you. You decide that this is because he is distracted.",Your friend probably did not reply to you because,He did not see you call out to him.,He does not like you. ,Positive,Social_Image,Visual,picture
town,Meeting a friend in town,busy,"You arrange to meet a friend in town. Last time you met, you disagreed on something you were discussing. Just before you leave, she calls to say that she can't make it. As you put down the phone, you think that this is because she is feeling busy.",Your friend probably cancelled your plans together because,She remembered she had an important meeting at work at the same time.,She is mad at you because of your previous disagreement.,Positive,Social_Image,Visual,picture
skating,First time Ice skating,small,"Your friend enjoys ice skating and persuades you to try it out. At the rink you put on the skates and step on the ice. You glide forward, slowly at first, then faster, and think your chances of getting injured are minimal.","As you continue ice skating, you will probably",Successfully skate around the rink several times. ,Fall over and hurt yourself.,Positive,Other,Visual,none
picnic,Picnic with friends,healed,"At a picnic with some friends, you accidentally cut your finger while slicing fruit. Because you are outside, you are not able to wash it out immediately with soap and water. In a few days, your cut will be healed.",The cut will probably,Heal quickly.,Become infected.,Positive,Physical_NonAnxSensitive,Visual,none
foreign,Yearly vacation,awesome,"For your vacation this year you are visiting a foreign country for the first time. When you are there, everything around you feels different and strange. You think this is awesome.","In this country, you think you will find",Opportunities to learn and experience the culture.,Yourself in troublesome situations.,Positive,Physical_AnxSensitive,Visual,none
birthday,Friend's birthday party,okay,"You are at a birthday party for a friend and talking with someone you just met. You cannot tell whether the person thinks you are interesting or boring, and you decide that not knowing is okay.","Overall, the conversation was probably a",Low-pressure and pleasant chance to meet a new person.,"Stressful situation, because the person might have found you uninteresting.",Positive,Social_NoImage,Visual,none
tutor,Evening class task,learning,"You finish a task due next week for your evening class and ask the tutor for his opinion. He says the work is good, apart from an incomplete section. You feel that he thinks you are learning.",Your tutor probably thinks,You are making progress in the subject.,You are lazy because you did not complete the whole task.,Positive,Social_Image,Visual,picture
