Scenario,Title,FinalWord,Paragraph,Questions,MCQ_Positive,MCQ_Negative,MCQ_Answer,ScenarioType,Format,Immersion
shake,Meeting with boss,normal,"You are having a meeting with your boss in her office. While talking with her, you notice your hands shake a little due to anxiety. You adjust your seating position and decide this is normal.",Your boss probably thinks,You look anxious.,You made yourself more comfortable.,Positive,Social_NoImage,Visual,none
run,Sunday morning run,proud,"It's Sunday morning and you just ran a mile outside. Taking off your running shoes in the hallway, you are short of breath. You feel proud.",You should grab,A bottle of water and a post-workout snack.,Your inhaler because you are probably having an asthma attack.,Positive,Physical_AnxSensitive,Visual,none
fundraising,Office fundraising,eager,"You are put in charge of your office’s fundraising efforts and quickly realize that your coworkers are not very interested in the fundraising. At a meeting, you give a presentation about the importance of helping with the fundraising, during which your coworkers are quiet. As you sit down after your presentation, you think your coworkers seem eager.",Your coworkers are probably thinking,That they want to help you with the fundraiser.  ,That your presentation is boring. ,Positive,Social_Image,Visual,picture
outing,Outing with family and friends,rain,"You organize a day outside with family and friends. The outing does not go very well, and you feel disappointed. As you get into your car, you think that others thought the event did not go well because of rain.",Your family and friends did not enjoy the outing because,The weather was unpredictable.,You planned it poorly.,Positive,Social_Image,Visual,picture
news,Story in the news,unchanged,"You are having a conversation with a coworker about a recent story in the news. You voice your opinion, and your coworker disagrees. In the future, you expect your coworker’s feelings about you will be unchanged.","The next time you meet, your coworker will most likely",Start up a conversation.,Avoid speaking with you. ,Positive,Social_NoImage,Visual,none
presentation,Presentation at work,stimulating,"You are required to give a presentation to a group of work colleagues that you know well. They all are quiet during your presentation. As you think about the presentation later at home, you think that your colleagues found your presentation interesting.",Your colleagues were probably quiet because,They were engaged by your  presentation.,They were bored by your presentation.,Positive,Social_Image,Visual,picture
computer,Finishing a computer course,favorably,You have almost completed a computer course. Part of your grade will be determined by a presentation that is to be graded by your classmates. You know most of them and feel that their opinions of you will make them grade your work more favorably.,Your classmates will probably,Give you a good score.,Give you a bad score.,Positive,Social_NoImage,Visual,none
disagreement,Disagreement at work,calm,"You have a minor disagreement with a coworker about the best way to complete a task, and you decide to ask your boss about it. When you talk to your boss, you momentarily forget what you were about to say. Your boss thinks you sound calm.",Your boss probably thinks,You are thoughtful and collected.,You are stupid and incompetent.,Positive,Social_NoImage,Visual,none
expertise,Introductory meeting,unprepared,"Your new supervisor calls a meeting to meet everyone and asks each of you in turn to present yourself and your area of expertise. When it is your turn to speak, you pause frequently. As you reflect on the meeting later in the day, you feel that the supervisor thought you sounded unprepared.",Your supervisor probably found you to be,Prepared and proficient. ,Unprepared and incompetent. ,Negative,Social_Image,Visual,picture
book,Book club,included,"You meet someone new at a book club and have a stimulating discussion. Towards the end you find that she disagrees with something that you said. When the book club meets next, you expect that you will be included.","Upon meeting again, you think that",Other members will be excited to hear your valuable contributions.,Other members will exclude you because of your opinions.,Positive,Social_Image,Visual,picture
