Scenario,Title,FinalWord,Paragraph,Questions,MCQ_Positive,MCQ_Negative,MCQ_Answer,ScenarioType,Format,Immersion
mountain,Learning to ski,enjoyable,You are on holiday at a mountain resort and are learning how to ski. This is your first attempt to ski downhill on your own. You approach the first bend at a moderate speed and think that skiing is enjoyable.,"Once you reach the bend, you will probably",Clear it and continue skiing downhill.,Fall down.,Positive,Other,Visual,none
water,Out on a date,well,"While on a date, you accidentally spill a glass of water. You feel slightly embarrassed as your date helps you clean up the spill. When everything is dry again, you feel that the rest of the date is likely to go well.","After the spill, your date probably",Doesn't mind that you're a little clumsy.,Won't want to go out with you again.,Positive,Social_Image,Visual,picture
coffee,Coffee drinking,nervous,You just drank a lot of coffee. You become jittery. You feel nervous.,Your hands probably begin to shake because,Your body is not used to this much caffeine.,This is the beginning of a panic attack.,Negative,Physical_AnxSensitive,Visual,none
jogging,Outdoors jog,jokes,"You are outside jogging and see a group of people ahead of you. As you pass them, you stumble slightly and feel a little foolish. You hear them laugh as you pass by, and assume that they are laughing at jokes.",The group of runners was probably laughing because,Someone told a funny joke.,They saw you stumble.,Positive,Social_Image,Visual,picture
flushed,Birthday party,normal,"You are at a birthday party for the friend of a friend. You notice that you are flushed and a little sweaty. Standing there, you think that these sensations are normal.",People will probably ,Not see you sweat since the room is dimly lit.,Notice that you are sweating.,Positive,Social_Image,Visual,picture
apartment,Seeking an apartment,fine,"You are looking for a new apartment. While on your first tour, you fall in love with the place and decide to sign a lease. The fact that you did not check out other apartments makes you feel fine.","When you move into your apartment, you will probably",Find that your apartment feels like home. ,Regret your decision. ,Positive,Other,Visual,none
eyes,Dinner date,thrilling,"You are out to dinner on a date. As you look into your date’s eyes across the table, you are unsure whether your date will ask you out for another date. The feeling of uncertainty is thrilling.",Not knowing how your date feels,Is exciting.,Is discouraging.,Positive,Social_NoImage,Visual,none
walk,Out for a walk,friendly,"While out on a walk, you see a neighbor that you do not know well. You decide to say hello in passing. After the brief encounter, you believe he thinks that you are friendly.",Your neighbor is likely to see you as ,A friendly person.,A cold and unfriendly person.,Positive,Social_NoImage,Visual,none
significant,Significant other,happiness,You see your significant other at an unexpected time. You feel your heart skip a beat. This sensation conveys happpiness.,Your heart probably skipped a beat because,You are excited to see your significant other. ,You are developing a heart condition.,Positive,Physical_AnxSensitive,Visual,none
corner,Evening class presentation,themselves,"You are giving a presentation during your evening class. As you talk, you hear a few of your classmates laughing in the corner. You look over at them and realize they were probably laughing at themselves.",Your classmates were most likely laughing because ,One of them made a joke unrelated to you.,One of them made a joke about you.,Positive,Social_Image,Visual,picture
