Scenario,PositiveS,PositiveS2,NegativeS,NegativeS2,Questions,PositiveQ,NegativeQ,MultipleChoice1,mc1a,mc1b,mc1pos,MultipleChoice2,mc2a,mc2b,mc2pos
"You buy a new suit, which is very different from your usual style of clothes. You try it on to show your friend. When she sees you, she pauses, and then comments that it makes you look",Nice,Nice,Silly,Silly,Did your friend think your new suit looked foolish?,No,Yes,,,,,,,,
"You need to return a jacket. As you speak with a sales associate, the sales associate does not smile very much. She probably thinks you are",Reasonable,Reasonable,Obnoxious,Obnoxious,Does the sales associate think you are annoying?,No,Yes,,,,,,,,
"You are on a long drive with a friend. You notice neither of you have said anything for a few minutes. Because of the silence, your friend probably thinks you are",Normal,Normal,Awkward,Awkward,Does your friend think you are awkward when there is silence during the drive?,No,Yes,,,,,,,,
You arrive at a party and realize that you don't know anyone there. No one talks to you immediately and you contemplate leaving. You decide to,Stay,Stay,Leave,Leave,Do you leave the party right away?,No,Yes,,,,,,,,
"You invite work colleagues to your house for a dinner party, although you know they don't always get along. At the dinner party, your guests talk a lot, despite not always agreeing. As you are clearing up afterwards, you think your guests found your party to be",Entertaining,Entertaining,Disastrous,Disastrous,Did your guests enjoy themselves at your dinner party?,Yes,No,,,,,,,,
"You write a short story to enter in a competition and need someone to proof read it. You ask your friend to proofread it, and he gives you a few suggestions on how to improve the story. Your friend probably thinks your work is",Great,Great,Terrible,Terrible,Does your friend like the story you wrote?,Yes,No,,,,,,,,
"You work in a large office along with your supervisors. One morning, you have to call your mother. Everyone else is working quietly and can hear what you say, and you guess that they think calling your mother from work means you are",Caring,Caring,Lazy,Lazy,Were other judging you negatively because you called your mother from work?,No,Yes,,,,,,,,
"While out on a walk, you see a neighbor that you do not know well. You decide to say hello in passing. He probably thinks that you are",Friendly,Friendly,Strange,Strange,Does your neighbor think that you are friendly?,Yes,No,,,,,,,,
"You are at a party with people you do not know well. You decide to join some people who are sitting on a couch and talking. When you try to enter the conversation topic, the people on the couch continue talking to each other, because they were probably",Distracted,Distracted,Annoyed,Annoyed,Did the people at the party find you annoying?,No,Yes,,,,,,,,
"While at the hairdressers, you opt for a completely different haircut. When you see your friends afterwards, she gasps. Her gasp probably means that she thinks the new style makes you look",Great,Great,Terrible,Terrible,Did your friend like your new haircut?,Yes,No,,,,,,,,
