Scenario,PositiveS,PositiveS2,NegativeS,NegativeS2,Questions,PositiveQ,NegativeQ,MultipleChoice1,mc1a,mc1b,mc1pos,MultipleChoice2,mc2a,mc2b,mc2pos
"Your boss asks you a question, and you realize you respond incorrectly. Your boss corrects you. You think the experience of being corrected by your boss is",Normal,Normal,Awful,Awful,Is it ok to occasionally answer a question from your boss incorrectly?,Yes,No,,,,,,,,
"Some important people are visiting your office and you are asked to present a project to them. On the day of the presentation, you arrange your slides and mentally prepare yourself. You think that your performance will be evaluated as",Organized,Organized,Unprofessional,Unprofessional,Will the visitors be unimpressed with your performance?,No,Yes,,,,,,,,
"You overhear some work colleagues discussing other people and hear your name mentioned. You do not hear everything they say, but think that what they are saying would probably make you feel",Valued,Valued,Offended,Offended,Were your colleagues saying negative things about you?,No,Yes,,,,,,,,
"You are in a club, and are told you need to give a presentation to other club members. When it is time to present, you have a sip of water. You begin to speak, feel scared, and decide to",Continue,Continue,Stop,Stop,Do you stop your presentation when you feel scared?,No,Yes,,,,,,,,
"At your computer class you finish your work early and so the teacher gives you a new task to do. You read through it and cannot think of how to start, so you ask for advice. Your teacher probably sees you asking for help as a sign of",Competence,Competence,Weakness,Weakness,Was your lecturer understanding when you asked for help?,Yes,No,,,,,,,,
"You are out to dinner with a few friends. During the meal, one friend says something that you really disagree with. As you voice your opinion, your friends become quiet because they are",Impressed,Impressed,Annoyed,Annoyed,Are your friends annoyed by your point of view?,No,Yes,,,,,,,,
"You are required to go to a conference in Scotland for your firm. Your coworker who is supposed to go on the trip falls ill a few days before you leave, so your boss asks someone you don't know to go in his/her place. As you think about spending time with the person you do not know, you think he/she will think you are",Interesting,Interesting,Awkward,Awkward,Do you expect your new colleague to have a good impression of you?,Yes,No,,,,,,,,
"You and your partner want to go to a remote destination for vacation. You worry about going because you will not have access to your email or cell phone while away. You are anxious as you make the trip reservations, and decide that the trip will be",Relaxing,Relaxing,Terrible,Terrible,Will the trip be relaxing?,Yes,No,,,,,,,,
"Your boss calls a meeting to discuss a new project that will involve most of the staff at your office. You are suddenly asked to contribute your ideas to the discussion. You quickly come up with some ideas on the spot, and think that your colleagues will find your ideas to be",Exciting,Exciting,Foolish,Foolish,Did your colleagues dislike your ideas at the meeting?,No,Yes,,,,,,,,
"You are at a small party with people from your company. You feel nervous about spending time with your coworkers outside of work. While at the party, you decide your nervousness is",Tolerable,Tolerable,Intolerable,Intolerable,Can you manage your nervousness at the party with your coworkers?,Yes,No,,,,,,,,
"You arrange to meet up with a friend who you have not seen for many years. You drive to the station to pick him up. When you arrive, you know he will find spending time with you",Fun,Fun,Boring,Boring,Do you think your friend will have a good time with you?,Yes,No,,,,,,,,
"On entering an interview, the panel of interviewers welcome you. You are the third candidate to be seen today and as you sit down, you feel your cheeks turning red. You think that they probably see you as",Calm,Calm,Scared,Scared,Do you think the interviewers see you as a nervous person?,No,Yes,,,,,,,,
"You go out shopping with a friend who tends to be very loud. While you are shopping, other shoppers stop and look at you and your friend. The experience is",Tolerable,Tolerable,Intolerable,Intolerable,Is it OK for people to look at you and your friend while out shopping?,Yes,No,,,,,,,,
"You have been a member of a choir for several years and enjoy performing at concerts. One evening, you are asked to sing on very short notice with another group. Afterwards you feel that the others found your contribution",Valuable,Valuable,Disappointing,Disappointing,Were the other members of the choir happy with your singing?,Yes,No,,,,,,,,
"When hanging out with a friend, the conversation dies down. Neither of you saying anything for a bit. As you think of a new conversation topic, your friend probably thinks you are",Comfortable,Comfortable,Uncomfortable,Uncomfortable,Does your friend think you are okay with the silence?,Yes,No,,,,,,,,
"Your new supervisor calls a meeting to find out who everyone is and asks each of you in turn to present yourself and your area of expertise. When it is your turn to speak you pause frequently. As you reflect on the meeting later in the day, you feel that the supervisor thought you sounded",Confident,Confident,Hesitant,Hesitant,Do you think your supervisor thought you sounded unsure of yourself?,No,Yes,,,,,,,,
"Your boss asks you to give a speech at a conference. You are nervous about the idea of giving a speech, and consider telling your boss that you do not want to give the speech. After thinking about your anxiety, you decide that the speech is something you want to",Present,Present,Avoid,Avoid,"Do you decide to give the speech, even though you are anxious?",Yes,No,,,,,,,,
"You are on the committee of an amateur theater group, which is planning a new production. At the first meeting, the director asks you for ideas about which play to perform. Everybody pauses after you say your ideas, and you think the others find your thoughts",Interesting,Interesting,Foolish,Foolish,Did the other committee members like your ideas?,Yes,No,,,,,,,,
"You have a one-on-one meeting today with your intimidating boss, which you are nervous about. As you are meeting, you momentarily lose your train of thought. After that, your anxiety is",Tolerable,Tolerable,Intolerable,Intolerable,Are you able to tolerate your anxiety while meeting with your boss?,Yes,No,,,,,,,,
"You are taking a class and during a brief break, call home to speak to your partner. You are late getting back into the classroom. The other students will think that choosing now to call home must mean that you are",Conscientious,Conscientious,Rude,Rude,Did people think you were rude when you were late returning to class?,No,Yes,,,,,,,,
"You are having a discussion with your teacher in his office, which is a little anxiety provoking for you. You think about ending the discussion early. You decide to ",Stay,Stay,Leave,Leave,Are you able to continue the discussion with your teacher?,Yes,No,,,,,,,,
"One evening your colleagues decide to go out to eat and ask you to join them. You accept, but will have to wear your work clothes. When you arrive, the other diners turn to look at you. You think this is because they think you look",Stylish,Stylish,Boring,Boring,Do you think that your colleagues think you are dressed inappropriately?,No,Yes,,,,,,,,
"The morning of your first evaluation with your new boss, she tells you that she has strong views about your work. You think that she likely finds your work",Excellent,Excellent,Terrible,Terrible,Do you think your new boss has an unfavorable opinion of your work?,No,Yes,,,,,,,,
"You best friend arranges a blind date for you. As you sit in the bar waiting to meet your date for the first time, you wonder how it will go. You feel that your date will think you are",Pleasant,Pleasant,Awkward,Awkward,Do you think you will make a bad impression on your date?,No,Yes,,,,,,,,
"As a course requirement, you have to make a presentation to your classmates and your teacher. You prepare to start and you stumble on your first few words. You think that your performance will be evaluated",Positively,Positively,Negatively,Negatively,Do you think the others will like your presentation?,Yes,No,,,,,,,,
"You notice an elderly neighbor carrying in bags of groceries from her car to her house. You decide to ask if she needs help, and she turns to stare at you. This is because she probably views you as",Kind,Kind,Annoying,Annoying,Does your neighbor appreciate your offer to help with the groceries?,Yes,No,,,,,,,,
